fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol
7.2,0.605,0.02,0.096,31.0,0.995,0.53,11.8
7.0,0.58,0.12,0.091,20.0,0.9956,0.48,10.5
6.1,0.56,0.0,0.079,9.0,0.9948,0.54,11.5
7.2,0.33,0.33,0.061,13.0,0.996,0.72,10.0
10.0,0.43,0.33,0.095,89.0,0.9984,0.68,10.0
7.0,0.42,0.19,0.071,36.0,0.99476,0.56,10.9
10.5,0.42,0.66,0.1159999999999999,29.0,0.997,0.75,11.7
10.5,0.24,0.47,0.066,24.0,0.9978,0.9,11.0
9.1,0.25,0.34,0.071,67.0,0.99769,0.86,10.2
6.0,0.51,0.0,0.064,54.0,0.995,0.93,10.7
7.0,0.64,0.02,0.067,23.0,0.997,0.67,9.4
6.6,0.855,0.02,0.062,23.0,0.99627,0.6,11.0
11.8,0.26,0.52,0.071,10.0,0.9968,0.72,10.2
7.4,0.64,0.17,0.08449999999999999,98.0,0.99736,0.5,9.5
7.6,0.51,0.24,0.091,38.0,0.998,0.66,9.6
5.3,0.47,0.11,0.048,89.0,0.997136,0.88,9.5
6.7,0.86,0.07,0.1,57.0,0.99598,0.74,11.7
6.9,0.55,0.15,0.076,40.0,0.9961,0.59,10.1
8.7,0.69,0.31,0.086,81.0,1.0002,0.74,11.6
6.6,0.735,0.02,0.0765,43.5,0.9994,0.53,9.9
10.0,0.42,0.5,0.107,21.0,0.9979,0.93,11.8
5.1,0.585,0.0,0.044,86.0,0.99264,0.94,12.9
6.5,0.53,0.06,0.063,44.0,0.99489,0.83,10.3
7.2,0.6,0.04,0.076,88.0,0.99745,0.55,9.5
6.1,0.34,0.25,0.084,28.0,0.99464,0.44,10.1
7.7,0.665,0.0,0.09,19.0,0.9974,0.73,9.3
11.3,0.36,0.66,0.06733333333333333,8.0,0.99642,0.53,11.9
7.3,0.51,0.18,0.07,28.0,0.99768,0.73,9.5
7.3,0.69,0.32,0.069,104.0,0.99632,0.51,9.5
9.2,0.31,0.36,0.079,31.0,0.99615,0.86,12.0
7.3,0.365,0.49,0.088,106.0,0.9966,0.78,11.0
8.0,0.6,0.22,0.08,105.0,0.99613,0.49,9.9
9.8,0.98,0.32,0.078,15.0,0.998,0.48,9.4
9.5,0.37,0.52,0.0819999999999999,26.0,0.998,0.51,9.5
7.3,0.305,0.39,0.059,11.0,0.99331,0.52,11.5
8.4,0.6,0.1,0.085,111.0,0.9964,0.66,9.8
9.0,0.82,0.14,0.089,23.0,0.9984,0.63,9.8
7.8,0.645,0.0,0.0819999999999999,16.0,0.9964,0.59,9.8
7.4,0.635,0.1,0.08,33.0,0.99736,0.69,10.8
7.4,0.55,0.19,0.0819999999999999,34.0,0.99655,0.68,10.5
7.4,0.37,0.43,0.0819999999999999,82.0,0.99708,0.68,9.7
12.0,0.28,0.49,0.074,21.0,0.9976,0.66,9.9
7.1,0.43,0.42,0.07,83.6,0.9973,0.72,10.5
9.6,0.6,0.5,0.079,71.0,0.9997,0.57,9.7
7.6,0.29,0.49,0.092,60.0,0.9971,0.61,10.1
7.0,0.54,0.0,0.079,55.0,0.9956,0.84,11.4
8.3,0.26,0.42,0.08,27.0,0.9974,0.8,9.4
8.9,0.28,0.45,0.067,12.0,0.99354,0.55,12.3
8.7,0.52,0.09,0.091,49.0,0.9976,0.86,10.6
9.5,0.885,0.27,0.084,26.333333333333332,0.9978,0.53,9.4
8.8,0.59,0.18,0.089,74.0,0.99738,0.54,9.4
6.8,0.69,0.0,0.091,58.0,0.9997,0.72,10.2
7.2,0.645,0.0,0.0969999999999999,39.0,0.99675,0.58,9.2
9.1,0.775,0.22,0.079,48.0,0.9976,0.51,9.6
8.5,0.44,0.5,0.0945,38.0,0.99634,0.825,9.4
7.8,0.56,0.19,0.104,47.0,0.9964,0.93,9.5
7.7,0.715,0.01,0.064,43.0,0.99371,0.57,11.8
9.8,0.66,0.39,0.083,59.0,0.9989,0.71,11.5
7.9,0.52,0.26,0.079,25.75,0.9964,0.54,9.5
7.8,0.58,0.02,0.073,18.0,0.9968,0.57,9.5
7.7,0.28,0.3,0.062,34.0,0.9952,0.9,11.3
10.2,0.23,0.37,0.057,36.0,0.99614,0.49,9.3
8.2,0.23,0.42,0.069,17.0,0.99376,0.54,12.3
6.5,0.58,0.0,0.096,13.0,0.99557,0.62,11.5
8.8,0.3,0.38,0.06,72.0,0.99543,0.72,11.8
8.7,0.84,0.0,0.065,33.0,0.9954,0.55,9.7
7.4,0.62,0.05,0.068,42.0,0.9961,0.57,11.5
7.1,0.22,0.49,0.0485,18.0,0.99344,0.56,12.4
5.6,0.66,0.0,0.087,11.0,0.99378,0.63,12.8
10.2,0.42,0.57,0.07,10.0,0.9971,0.63,9.6
6.1,0.64,0.02,0.069,46.0,0.99358,0.45,11.0
9.6,0.54,0.42,0.081,52.0,0.997,0.71,11.4
6.4,0.64,0.21,0.081,31.0,0.99689,0.66,9.8
8.0,0.64,0.22,0.094,33.0,0.99612,0.58,11.0
9.1,0.4,0.5,0.071,16.0,0.99462,0.69,12.5
7.0,0.45,0.34,0.0819999999999999,72.0,0.998,0.6,9.5
10.6,0.42,0.48,0.065,18.0,0.9972,0.87,11.3
7.1,0.46,0.2,0.077,54.0,0.9956,0.64,10.4
9.1,0.37,0.32,0.064,15.0,0.99576,0.8,11.2
5.6,0.85,0.05,0.045,88.0,0.9924,0.82,12.9
7.5,0.755,0.0,0.084,12.0,0.99672,0.49,9.7
10.3,0.41,0.42,0.07533333333333327,14.0,0.9994,0.62,9.5
8.2,0.635,0.1,0.073,60.0,0.99638,0.75,10.9
4.7,0.6,0.17,0.0579999999999999,106.0,0.9932,0.6,12.9
6.6,0.63,0.0,0.093,77.5,0.99558,0.45,9.5
7.4,0.785,0.19,0.094,98.0,0.99713,0.52,9.6
7.1,0.68,0.0,0.073,22.0,0.9969,0.5,9.3
7.0,0.69,0.0,0.114,10.0,0.99636,0.6,9.7
8.8,0.685,0.26,0.088,23.0,0.99694,0.47,9.4
9.0,0.69,0.0,0.088,38.0,0.999,0.6,9.3
10.1,0.28,0.46,0.05,13.0,0.9974,0.79,10.2
6.4,0.36,0.53,0.06033333333333327,35.0,0.9934,0.93,12.4
10.4,0.41,0.55,0.076,54.0,0.9996,0.89,9.9
7.5,0.51,0.02,0.084,31.0,0.99538,0.54,10.5
8.6,0.47,0.27,0.055,28.0,0.99516,0.8,11.2
7.9,0.5,0.33,0.084,31.75,0.9968,0.55,9.5
8.35,0.59,0.45,0.0819999999999999,22.0,1.0,0.7,9.3
7.0,0.55,0.13,0.075,35.0,0.9959,0.59,9.7
7.9,0.54,0.34,0.076,17.0,0.99235,0.72,13.1
10.4,0.34,0.58,0.0815,16.0,0.997,0.7,11.3
7.2,0.66,0.33,0.068,102.0,0.99414,0.78,12.8
7.6,0.36,0.31,0.079,65.0,0.99716,0.62,9.5
11.3,0.34,0.45,0.0819999999999999,15.0,0.9988,0.66,9.2
8.9,0.4,0.32,0.087,47.0,0.9991,0.77,10.5
8.5,0.32,0.42,0.075,19.0,0.99434,0.71,11.8
7.5,0.57,0.02,0.077,35.0,0.99557,0.62,10.8
7.9,0.33,0.41,0.0559999999999999,35.0,0.99396,0.71,11.0
8.9,0.61,0.49,0.07150000000000001,110.0,0.9972,0.5549999999999999,9.3
6.9,0.74,0.03,0.054,16.0,0.99508,0.63,11.5
8.9,0.565,0.34,0.093,112.0,0.9998,0.61,9.5
9.9,0.59,0.07,0.102,71.0,1.00015,0.71,9.8
8.9,0.635,0.37,0.079,62.0,0.9971,0.63,9.3
7.3,0.59,0.26,0.07,121.0,0.9981,0.49,9.4
8.0,0.31,0.45,0.096,16.0,0.99358,0.81,12.5
7.2,0.53,0.14,0.064,29.0,0.99323,0.61,12.1
8.8,0.7,0.0,0.069,19.0,0.99701,0.53,10.0
8.5,0.21,0.52,0.09,23.0,0.99648,0.67,10.4
10.7,0.52,0.38,0.066,56.0,0.99577,0.79,12.1
8.4,0.65,0.6,0.1119999999999999,90.0,0.9973,0.52,9.2
7.7,0.67,0.23,0.088,96.0,0.9962,0.48,9.5
7.7,0.27,0.68,0.069,10.0,0.9972,0.695,9.9
7.6,0.36,0.31,0.079,65.0,0.99716,0.62,9.5
7.0,0.43,0.36,0.089,37.0,0.99615,0.56,9.2
7.0,0.59,0.0,0.052,8.0,0.996,0.47,10.3
8.6,0.45,0.31,0.086,50.0,0.9982,0.91,9.9
8.2,0.64,0.27,0.095,77.0,0.99747,0.62,9.1
7.1,0.59,0.02,0.0819999999999999,94.0,0.99744,0.53,9.7
8.1,0.67,0.55,0.1169999999999999,78.5,0.9968,0.62,9.4
7.6,0.6225,0.0,0.07150000000000001,9.0,0.99476,0.4,10.9
8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5
8.0,0.83,0.27,0.08,63.0,0.99652,0.48,9.8
5.6,0.66,0.0,0.066,15.0,0.99256,0.58,12.9
8.7,0.29,0.52,0.113,37.0,0.9969,0.58,9.5
10.4,0.44,0.73,0.074,76.0,0.999,0.85,12.0
11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1
8.5,0.46,0.31,0.078,58.0,0.998,0.54,9.8
7.6,0.9,0.06,0.079,10.0,0.9967,0.56,9.8
7.2,0.835,0.0,0.07400000000000001,11.0,0.99608,0.52,10.0
6.5,0.52,0.11,0.073,38.0,0.9955,0.52,9.3
6.4,0.57,0.14,0.07,73.0,0.99669,0.48,9.2
9.9,0.59,0.07,0.102,71.0,1.00015,0.71,9.8
8.3,0.625,0.2,0.08,119.0,0.9972,0.54,9.1
7.1,0.71,0.0,0.08,35.0,0.9972,0.55,9.4
8.0,0.81,0.25,0.076,85.0,0.99668,0.42,9.2
5.3,0.715,0.19,0.0815,62.0,0.99395,0.61,11.0
9.4,0.43,0.24,0.092,45.0,0.998,0.73,10.0
8.3,0.31,0.39,0.078,43.0,0.99444,0.77,12.5
11.5,0.45,0.5,0.078,47.0,1.0003,0.8833333333333333,11.0
8.0,0.28,0.44,0.081,68.0,0.99501,0.66,11.2
11.9,0.39,0.69,0.095,35.0,0.9994,0.61,10.8
7.8,0.58,0.13,0.102,36.0,0.9944,0.53,11.2
9.850000000000001,0.56,0.49,0.064,27.0,0.9999,0.87,10.9
7.8,0.56,0.19,0.104,47.0,0.9964,0.93,9.5
8.3,0.31,0.02,0.084,11.0,0.99892,0.49,11.0
9.0,0.43,0.34,0.08,86.0,0.9987,0.62,9.5
9.0,0.785,0.24,0.078,21.0,0.99692,0.67,10.0
7.9,0.69,0.21,0.08,24.0,0.9962,0.51,9.9
7.5,0.6,0.03,0.095,99.0,0.995,0.54,10.1
8.3,0.34,0.4,0.065,48.0,0.99554,0.86,11.0
6.8,0.49,0.22,0.071,24.0,0.99438,0.83,11.3
7.966666666666666,0.47,0.49,0.085,47.0,0.99825,0.68,12.7
10.2,0.41,0.43,0.11,37.0,0.99728,0.67,10.8
6.4,0.885,0.0,0.0885,12.0,0.99551,0.51,10.8
8.9,0.62,0.18,0.10666666666666667,53.66666666666667,0.9986,0.88,9.2
7.6,0.52,0.12,0.067,53.0,0.9971,0.57,9.1
9.6,0.33,0.52,0.074,25.0,0.99509,0.76,12.4
6.6,0.725,0.09,0.1169999999999999,17.0,0.99655,0.49,10.8
11.4,0.6,0.49,0.085,41.0,0.9994,0.63,10.5
6.7,0.48,0.08,0.064,34.0,0.99552,0.64,9.7
10.1,0.43,0.4,0.092,52.0,0.99834,0.64,10.0
7.2,0.63,0.0,0.0969999999999999,38.0,0.99675,0.58,9.0
9.5,0.57,0.27,0.0819999999999999,60.666666666666664,0.99782,0.55,9.4
10.95,0.685,0.76,0.1,43.0,0.9975499999999999,0.68,11.2
6.6,0.58,0.02,0.069,40.0,0.99387,0.66,12.6
6.4,0.795,0.0,0.065,52.0,0.99378,0.52,11.6
5.2,0.32,0.25,0.103,50.0,0.9957,0.55,9.2
10.5,0.24,0.42,0.077,22.0,0.9976,0.8033333333333333,10.8
5.6,0.54,0.04,0.049,13.0,0.9942,0.58,11.4
